movie_id	audience_score	critic_score	actor_names	actor_links	synopsis	In Theaters	Genre	Studio	Directed By	Runtime	Box Office	Rating	Written By
Dance, Girl, Dance	64%	80%	Maureen O'Hara,Lucille Ball,Virginia Field,Louis Hayward,Ralph Bellamy,Maria Ouspenskaya,Mary Carlisle,Katherine Alexander,Edward S. Brophy,Walter Abel,Harold Huber,Ernest Truex,Chester Clute,Lorraine Krueger,Lola Jensen,Emma Dunn,Sidney Blackmer,Vivian Fay,Vivien Fay,Ludwig Stossel,Ernö Verebes,Ruth Seeley,Thelma Woodruff,Marjorie Woodworth,Lee "Lasses" White,Philip Morris,Wade Boteler,Lee Shumway,Robert Emmett O'Connor,Lee Phelps,Paul Rensy,Clyde Cook,Leo Cleary,Robert E. O'Connor,Kernan Cripps,Bob McKenzie,Harry Tyler,Jean Lafayette,Paul Fung,Dewey Robinson,Ralph Sanford,Tony Martelli,Gino Corrado,Milton Kibbee,Lew Harvey,Paul E. Burns,Paul Phillips	NA	NA	Aug 30, 1940 wide	Classics,Comedy,Drama	WARNER BROTHERS PICTURES	Dorothy Arzner	88 minutes	NA	NR	Tess Slesinger, Frank Davis
Dancing In Jaffa	73%	86%		NA	NA	Apr 11, 2014 limited	Documentary,Musical & Performing Arts	IFC Films	Hilla Medalia	90 minutes	$89,238	NR	Hilla Medalia, Philip Shane
Danger Close	82%	20%		NA	NA	Apr 28, 2017 limited	Documentary	Gravitas Ventures	Christian Tureaud, David Salzberg	90 minutes	NA	NR	Eli Baldrige, Alex Quade
Dan in Real Life	69%	65%	Steve Carell,Juliette Binoche,Dane Cook,Alison Pill,Britt Robertson,Marlene Lawston,Dianne Wiest,John Mahoney,Emily Blunt,Norbert Leo Butz,Amy Ryan,Jessica Hecht,Frank Wood,Ella Miller,Cameron Adams,C.J. Adams,Jessica Lussier,Seth D'Antuono,Margot Janson,Willa Cuthrell-Tuttlema,Felipe Dieppa,Matthew J. Morrison,Bernie McInerney,Amy Landecker,Steve Mellor,Pauline Gregory,Shana Carr,Nicole Morin,Charlotte Davies,Zoe Paulkis,Lucas Hedges,Sondre Lerche,Kato Ådland,Ole Ludvig Krüger,Morten Skage,Marci Occhino,Michael Peavey	NA	NA	Oct 26, 2007 wide	Comedy,Drama,Romance	Buena Vista	Peter Hedges	98 minutes	$30,025,543	PG-13 (for some innuendo)	Peter Hedges, Pierce Gardner
Darby O'Gill and the Little People	77%	100%	Albert Sharpe,Janet Munro,Sean Connery,Jimmy O'Dea,Kieron Moore,Estelle Winwood,Walter Fitzgerald,Denis O'Dea,J.G. Devlin,Jack MacGowran,Farrell Pelly,Nora O'Mahoney,Maureen Halligan	NA	NA	Jun 26, 1959 limited	Kids & Family,Science Fiction & Fantasy	Buena Vista Pictures	Robert Stevenson	93 minutes	NA	G	Lawrence Edward Watkin
Dark Shadows	46%	37%	Johnny Depp,Helena Bonham Carter,Chloë Grace Moretz ,Eva Green,Gulliver McGrath,Bella Heathcote,Ray Shirley,Thomas McDonell,Jackie Earle Haley,Jonny Lee Miller,Gully McGrath,Michelle Pfeiffer,Christopher Lee,Alice Cooper,Ivan Kaye,Justin Tracy,Susanna Cappellaro,Josephine Butler,William Hope,Shane Rimmer,Michael J. Shannon,Harry Taylor,Glen Mexted,Guy Flanagan,Nigel Whitmey,Philip Bulcock,Sophie Kennedy Clark,Hannah Murray,Victoria Bewick,Sean Mahon,Alexia Osborne,Richard Hollis,Felicity Brangan,Michael Anthony Brown,Charlotte Spencer,Gabriel Freilich,Thomas Grube,Jeff Mash,Raffey Cassidy,Jonathan Frid,Kathryn Leigh Scott,Lara Parker,David Selby,Janine Craig,Adelle Young,Dominica Van Santen,Josephine McGrail	NA	NA	May 11, 2012 wide	Drama,Horror,Mystery & Suspense	Warner Bros. Pictures	Tim Burton	113 minutes	$79,711,678	PG-13 (for comic horror violence, sexual content, some drug use, language and smoking)	Seth Grahame-Smith
Darkness	30%	4%	Iain Glen,Stephan Enquist,Lena Olin,Anna Paquin,Fele Martínez,Giancarlo Giannini,Fermí Reixach,Francesc Pages,Craig Stevenson,Paula Fernandez,Gemma Lozano	NA	NA	Oct 19, 2004 wide	Horror	Miramax Films	Jaume Balagueró	90 minutes	$22,036,907	PG-13 (for disturbing images, intense terror sequences, thematic elements and language)	Jaume Balagueró, Fernando de Felipe
Dark City	84%	74%	Rufus Sewell,Kiefer Sutherland,Jennifer Connelly,William Hurt,Richard O'Brien,Ian Richardson,Colin Friels,Mitchell Butel,Frank Gallacher,Bruce Spence,Mellisa George,John Bluthal,Nicholas Bell,Satya Gumbert,Frederick Miragliotta,Ritchie Singer,Justin Monjo,Noah Gumbert,Peter Sommerfeld,Timothy Jones,Jeanette Cronin,Paul Livingston,Michael Lake,David Wenham,Alan Cinis,Bill Highfield,Terry Bader,Rosemary Traynor,Edward Grant II,Maureen O'Shaughnessy,Deobie Oparei,Marcus Johnson,Doug Scroope,Cinzia Coassin,Tyson McCarthy,Luke Styles,Anthony Kierann,Laura Keneally,Natalie Bollard,Eliot Paton,Naomi van der Velden,Peter Callan,Mark Hedges,Darren Gilshenan,Ray Rizzo,Bill Rutherford,Marin Mimica,Tony Mosley,Glenford O. Richards,Stanley Steer,Greg Tell,William Upjohn	NA	NA	Feb 27, 1998 wide	Horror,Mystery & Suspense,Science Fiction & Fantasy	New Line Cinema	Alex Proyas	101 minutes	NA	R (For violent images and some sexuality)	Alex Proyas
Dark Days	89%	94%	Marc Singer,Dee,Clarence,Greg,Julio,Tommy,Henry	NA	NA	Aug 30, 2000 limited	Documentary,Special Interest	Picture Farm	Marc Singer	81 minutes	NA	NR	NA
Dark Matter	40%	40%	Meryl Streep,Aidan Quinn,Ye Liu,Blair Brown,Chi Peng,Wang Yonggui,Tsao Lei,Shan Jing,He Yu,Li Bo Lin,Boris McGiver,Bill Irwin,Zhang Hui,Taylor Schilling,Joe Grifasi,Rob Campbell,Jodi Russell,Erick Avari,Lloyd Suh,Yi Qian,Johnny Rothman,Hong Ying,Zeng Hui,Sina Amedson	NA	NA	Apr 11, 2008 wide	Drama	First Independent Pictures	Chen Shi-Zheng	86 minutes	NA	R (for a scene of violence, brief sexual content and language)	Billy Shebar
Dark Was The Night	33%	47%	Kevin Durand,Lukas Haas,Bianca Kajlich,Steve Agee,Heath Freeman,Sabina Gadecki,Nick Damici,Seth Hendricks,Ethan Khusidman,Joseph Pallister,Charlie Parshley,Bill Paterson,Minerva Scelza	NA	NA	Jul 24, 2015 limited	Drama,Horror,Mystery & Suspense	RLJE/Image Entertainment	Jack Heller (III)	94 minutes	NA	NR	Tyler Hisel
Darling Companion	29%	21%	Diane Keaton,Kevin Kline,Richard Jenkins,Zach Phifer,Dianne Wiest,Sam Shepard,Elisabeth Moss,Mark Duplass,Ayelet Zurer,Aylet Zurer,Lindsay Sloane,Jay Ali,Charles Halford,Robert Bear,Kasey,Paul Kiernan,Jericho Watson,Yolanda Wood,D.L. Walker,Dina Goldman,Ruben Barboza,Aline Andrade,Jon Kasdan,Mark Robinette,Craig Miner,Ryan Shupe,Anne Cullimore Decker,Anthony Bregman,Tod Huntington,Jason Jensen,Steve Christina,Lorry Houston,Jon Jon Florence,Jan B. Felt	NA	NA	Apr 20, 2012 limited	Comedy,Drama	Sony Pictures Classics	Lawrence Kasdan	103 minutes	$793,352	PG-13 (for some sexual content including references, and language)	Lawrence Kasdan, Meg Kasdan
D.A.R.Y.L.	54%	50%	Mary Beth Hurt,Michael McKean,Barret Oliver,Kathryn Walker,Colleen Camp,Josef Sommer,Ron Frazier,Daniel Bryan Corkill,Steve Ryan,David Wohl,Danny Corkill,Amy Linker,Ed Grady,Tucker McGuire,Richard Hammatt,Richard Hammat,Charlie Gudger,Stacy Woods,Pat Fuleihan,Noreen Lange,Jessica Johnson,Ginny Light,Danielle LeMoine,Patrick Branner,Susan West,Benjamin Peterson,Hardy Rawls,Dalton Poole,Wayne Shindoll,Sean Hower,Brian Stafford,James LaPointe,Joseph Reed,James H. Armfield,Kevin O'Neill,Ski Collins,Russ Wheeler,Kevin O'Neil,Paul Darby,Blain Fairman,Robert Arden,William Roberts,Christopher Muncke,Burtt Harris,Major Wiley,James Fitzpatrick,Matt Butler	NA	NA	Jun 14, 1985 wide	Kids & Family,Science Fiction & Fantasy	Paramount Pictures	Simon Wincer	100 minutes	NA	PG	David Ambrose, Allan Scott, Jeffrey Ellis
Date Night	55%	67%	Steve Carell,Tina Fey,Mark Wahlberg,Taraji P. Henson,Jimmi Simpson,Common,William Fichtner,Leighton Meester,JB Smoove,Kristen Wiig,Mark Ruffalo,James Franco,Mila Kunis,Bill Burr,Jonathan Morgan Heit,Savannah Argenti,Nick Kroll,Olivia Munn,Gal Gadot,Lauren Weedman,Darren Le Gallo,J. Razor,Gillian Vigman,Cantor Chayim Frenkel,Jon Bernthal,Ari Graynor,will.i.am,Sho Brown,Jahnel Curfman,Stella Angelova,Joe Starr,John Cenatiempo,Katie Gill,Michelle Galdenzi,Stacey Scowley,Hal Devi,Dani Playel,Kat Howland,Alandrea Martin	NA	NA	Apr 9, 2010 wide	Comedy,Romance	20th Century Fox	Shawn Levy	107 minutes	$98,710,290	PG-13 (for sexual and crude content throughout, language, some violence and a drug reference)	Josh Klausner
Daughters of the Dust	68%	97%	Cora Lee Day,Alva Rogers,Cheryl Lynn Bruce,Adisa Anderson,Kaycee Moore,Barbara O,Tommy Redmond Hicks,Bahni Turpin,Geraldine Dunston,Trula M. Marcus,Vertamae Grosvenor,Eartha Robinson,Cornell 'Kofi' Royal,Catherine Tarver,Kai Lynn Warren,Trula Hoosier,Umar Ubdurrahman,Malik Farrakhan,Sherry Jackson,Ervin Green,Marcus Humphrey,Bernard Wilson,Althea Lang,Jasmine Lee Ching-Hui,Dalisia Robinson,Willie Faulkner,Joe Taylor,Frank Brown,Rueben Fripp,Derrick Coaxum,Neil Howard,Jared Warren,Zenovia Green,Taira Miller,Tiffanye Hills,Jamer Freeman,Detrell Freeman,Vivian Dawson,Inez Griffin,M. Cochise Anderson,Darrel Cook,Julius Cook,Benjamin Gillens,Ronald Daise,Marie Smalls,Lonnie Moon,Dewitt Parker,Emma Robinson,Taylor Thompson,Virginia Green,Maceo Griffin,Archie Thomas,Raymond Paige,Ervena Falkner,J.R. Wilson,Wilhemina Wilson,Tarell Brown,Shanna Parker,Belle White,Stanley White,Maxine Royale,Georgia Wiggins,Carolyn Garris,Ella Powell,Bernice Jenkins,Lilian Johnson,Jackie Parker,Sharria Johnson,Leroy Simmons Jr.	NA	NA	Dec 27, 1991 limited	Drama,Romance	Kino International	Julie Dash	112 minutes	$7,232	PG	Julie Dash
David and Bathsheba	33%	80%	Gregory Peck,Susan Hayward,Raymond Massey,Jayne Meadows,Kieron Moore,James Robertson Justice,John Sutton,Dennis Hoey,Walter Talun,Paula Morgan,Francis X. Bushman,Teddy Infur,Leo B. Pessin,Gwen Verdon,Gilbert Barnett,John Burton,Lumsden Hare,George Zucco,Allan Stone,Paul Newlan,Holmes Herbert,Robert Stephenson,Harry Carter,Richard Michelson,Dick Winters,Johnny Duncan,James Craven	NA	NA	Aug 10, 1951 wide	Classics,Drama,Romance,Faith & Spirituality	20th Century Fox Film Corporation	Henry King	116 minutes	NA	NR	Philip Dunne
Daylight Robbery	44%	22%	Geoff Bell,Justin Salinger,Vas Blackwood,Robert Boulter,Johnny Harris,Max Brown,Leo Gregory,Paul Nicholls,Del Synnott,Shaun Parkes,Shaun Williamson	NA	NA	Aug 29, 2008 wide	Drama,Mystery & Suspense	Giant Films	Paris Leonti	95 minutes	NA	NR	Paris Leonti
Days and Nights	38%	0%	Allison Janney,Ben Whishaw,Jean Reno,William Hurt,Juliet Rylance,Michael Nyqvist,Christian Camargo,Cherry Jones,Russell Means,Mark Rylance	NA	NA	Sep 26, 2014 limited	Comedy,Drama	IFC Films	Christian Camargo	92 minutes	$6,003	NR	Christian Camargo
The Day of the Locust	75%	64%	Donald Sutherland,Karen Black,Burgess Meredith,William Atherton,Geraldine Page,Richard Dysart,Bo Hopkins,Pepe Serna,Lelia Goldoni,Billy Barty,Jackie Earle Haley,Gloria Le Roy,Jane Hoffman,Norman Leavitt,Madge Kennedy,Ina Gould,Florence Lake,Margaret Willey,John War Eagle,Natalie Schafer,Gloria Stroock,Nita Talbot,Nicholas Cortland,Alvin Childress,Ann Coleman,Gyl Roland,Paul Stewart,John Hillerman,William Castle,Grainger Hines,DeForest Covan,John Michael Quinn,Robert Pine,Angela Greene,Jerry Fogel,Dennis Dugan,David Ladd,Bob Holt,Paul Jabara,Queenie Smith,Margaret Jenkins,Jonathan Kidd,Kenny Solms,Byron Paul,Wally K. Berns,Dick Powell Jr.,Bill Baldwin,Roger Price,Robert O. Ragland,Wally Rose,Virginia Baker,Fred Scheiwiller	NA	NA	May 7, 1975 wide	Classics,Drama,Mystery & Suspense	Paramount Pictures	John Schlesinger	144 minutes	NA	R	Waldo Salt, Nathanael West
The Day the Earth Stood Still	27%	21%	Keanu Reeves,Jennifer Connelly,Jaden Smith,Kathy Bates,Jon Hamm,John Cleese,Kyle Chandler,Robert Knepper,James Hong,John Rothman,Brandon T. Jackson,Sunita Prasad,Juan Riedinger,Sam Gilroy,Tanya Champoux,Rukiya Bernard,Alisen Down,Lloyd Adams,Mousa Kraish,J.C. MacKenzie,Daniel Bacon	NA	NA	Dec 12, 2008 wide	Science Fiction & Fantasy	20th Century Fox	Scott Derrickson	103 minutes	$79,136,963	PG-13 (for some sci-fi disaster images and violence)	Edmund H. North, David Scarpa
Day Zero	45%	24%	Elijah Wood,Jon Bernthal,Chris Klein,Ginnifer Goodwin,Elisabeth Moss,Ally Sheedy,Sofia Vassilieva,Zoe Lister-Jones,John Rothman,Daniel Oreskes,Tinashe Kajese,Bob Hogan,Adam Le Fevre,Amir Arison,Ian Kahn,Jordin Ruderman,Annie Rohling,Clark Middleton,Charlene Biton,Alexandra Rose Sullivan,Malachy Cleary,Jon David Casey,Jamison Stern,Philip Burke,Michael Shapiro	NA	NA	Apr 29, 2007 wide	Drama	First Look Studios	Bryan Gunnar Cole	93 minutes	NA	R (for language, sexual content, some violence and drug use)	Robert Malkani, Rob Malkani
The Da Vinci Code	57%	25%	Tom Hanks,Audrey Tautou,Ian McKellen,Alfred Molina,Jürgen Prochnow,Paul Bettany,Jean Reno,Jean-Yves Berteloot,Etienne Chicot,Jean-Pierre Marielle,Marie-Françoise Audollent,Seth Gabel,Rita Davies,Francesco Carnelutti,Fausto Maria Sciarappa,Denis Podalydès,Harry Taylor,Clive Carter,Garance Mazureck,Daisy Doidge-Hill,Lilli Ella Kelleher,Crisian Emanuel,Charlotte Graham,Xavier De Guillebon,Tonio Descanvelle,David Bark-Jones,Serretta Wilson,Dan Tondowski,Eglantine Rembauville,Aewia Huillet,Roland John-Leopoldie,David Saracino,Lionel Guy-Bremond,Yves Aubert,Rachael Black,Dez Drummond,Mark Roper,Brock Little,Matthew Butler,Roland Menou,Hugh Mitchell,Tina Maskell,Peter Pedrero,Sam Mancuso,André Lillis,Mario Vernazza,Agathe Natanson,Daz Parker,Andy Robb,Tom Barker,Maggie McEwan,Michael Bertenshaw,Sarah Wildor,David Bertrand,Andrew Clark,Joe Grossi,Hugh Marsh,Nick Glennie-Smith,Richard Harvey	NA	NA	May 19, 2006 wide	Action & Adventure,Drama,Mystery & Suspense	Sony Pictures	Ron Howard	149 minutes	$217,536,138	PG-13 (for disturbing images, violence, some nudity, thematic material, brief drug references and sexual content.)	Akiva Goldsman
DCU: Justice League: The Flashpoint Paradox	93%	100%	Cary Elwes,Nathan Fillion,Ron Perlman	NA	NA	NA	Action & Adventure,Animation	WARNER BROTHERS PICTURES	Jay Oliva	95 minutes	NA	PG-13	NA
Deadfall	36%	34%	Eric Bana,Olivia Wilde,Charlie Hunnam,Kris Kristofferson,Sissy Spacek,Kate Mara,Treat Williams	NA	NA	Dec 7, 2012 limited	Drama,Mystery & Suspense	Magnolia Pictures	Stefan Ruzowitzky	94 minutes	$38,734	R (For strong violence, language and sexuality)	Zach Dean
Deadpool	90%	83%	Ryan Reynolds,Morena Baccarin,Ed Skrein,T.J. Miller,Gina Carano,Brianna Hildebrand,Karan Soni,Michael Benyaer,Style Dayne,Andre Tricoteux,Taylor Hickson,Jed Rees,Paul Lazenby,Ben Wilkinson,Kyle Cassie,Hugh Scott,Stefan Kapicic,Ayzee,Naika Toussaint,Randal Reeder,Isaac C. Singleton Jr.,Justyn Shippelt,Donna Yamamoto,Cindy Piper,Emily Haine,Amir Aatash,Chad Riley,Paul Belsito,Darcey Johnson,Leslie Uggams,Kyle Rideout,Jason Day,Stan Lee,Rachel Shaw,Rob Hayter	NA	NA	Feb 12, 2016 wide	Action & Adventure,Comedy,Science Fiction & Fantasy	20th Century Fox	Tim Miller	103 minutes	$328,674,489	R (for strong violence and language throughout, sexual content and graphic nudity)	Rhett Reese, Paul Wernick
Dead Awake	18%	17%	Jocelin Donahue,Jesse Bradford,Lori Petty,Brea Grant,Jesse Borrego,James Eckhouse,Liz Mikel,Jeffrey Reddick,Billy Blair,Mona Lee Fultz,Derek Lee Nixon,Amber Saxon,Natalie Jones,Chelsea Morgensen,Kurt Wehner,A.J. Gutierrez	NA	NA	May 12, 2017 limited	Horror,Mystery & Suspense	FilmRise	Phillip Guzman	99 minutes	$8,834	NR	Jeffrey Reddick
Dealin' With Idiots	30%	37%	Jeff Garlin,Gina Gershon,Bob Odenkirk,Fred Willard,Nia Vardalos,Jami Gertz,Timothy Olyphant,Richard Kind,JB Smoove,Kerri Kenney-Silver,Steve Agee	NA	NA	NA	Comedy	IFC Films	Jeff Garlin	86 minutes	$15,308	NR	Jeff Garlin, Peter Murrieta
Dear Lemon Lima	63%	80%	Savanah Wiltfong,Shayne Topp,Zane Huett,Vanessa Marano,Kari Nissena,Maia Lee,Jada Morrison,Taylor Finlon,Brian Bloch,Brian Goddard,Meaghan Martin,Melissa Leo,Michelle Pizzo,Beth Grant,Elaine Hendrix,Eleanor Hutchins,Rick Turner,Sheldon Jacobs,Jack Gravalis,Bob McCracken,Elaine Mani Lee,Emma Noelle Roberts,Emily Oleyer,George Bass,Jesse Michael Salas	NA	NA	Mar 4, 2011 wide	Comedy,Drama	Phase 4 Films	Suzi Yoonessi	87 minutes	NA	PG-13 (for some thematic material and language)	Suzi Yoonessi
Dear John	55%	29%	Channing Tatum,Amanda Seyfried,Richard Jenkins,Henry Thomas,D.J. Cotrona,Cullen Moss,Gavin McCulley,Jose Lucena,Keith Robinson,Scott Porter,Leslea Fisher,William Howard,David Andrews,Mary Rachel Dudley,Bryce Hayes,R. Braeden Reed,Luke Benward,Tom Stearns,Michael Harding,Brett Rice,David Dwyer,Anthony Osment,Jim Wenthe,Matt Blue,Lauree Bradway,Glenn M. Tatum,Martin Coleman Bowen,Steven O'Connor,Maxx Hennard,Jessica Lucas,Teresa Smith,Shelley Reid,Cenk Otay,Russell A. Turner,Lisa Burrascano,Mary Fischer	NA	NA	Feb 5, 2010 wide	Drama,Romance	Screen Gems/SONY PICTURES	Lasse Hallstrom	109 minutes	$79,600,000	PG-13 (for some sensuality and violence)	Jamie Linden
Deathgasm	66%	87%	Milo Cawthorne	NA	NA	Oct 2, 2015 limited	Art House & International,Comedy,Horror	NA	Jason Lei Howden	90 minutes	NA	NR	NA
The Deaths of Ian Stone	34%	57%	Mike Vogel,Jaime Murray,Christina Cole,Michael Feast,Jamie Murray,Charlie Anson,Mamix Van Den Broeke,Michael Dixon,George Dillon,Marnix Van Den Broeke,Andrew Buchan,Bill Nash,Anthony Warren,Jason Durran,Jeff Peterson,Roger Monk,James Bartle	NA	NA	Nov 9, 2007 wide	Horror,Mystery & Suspense	After Dark Films	Dario Piana, Dario Plana	87 minutes	NA	R (for violence, some drug content and brief language)	Brendan Hood
Death at a Funeral	44%	42%	Chris Rock,Keith David,Loretta Devine,Peter Dinklage,Ron Glass,Danny Glover,Regina Hall,Kevin Hart,Martin Lawrence,James Marsden,Tracy Morgan,Zoe Saldana,Columbus Short,Luke Wilson,Regine Nehy,Bob Minor,Alexander Folk,Leslie Rivers,Bronwyn Hardy,Willi Willis,Jamison Yang,Betty K. Bynum	NA	NA	Apr 16, 2010 wide	Comedy,Drama	Sony Pictures	Neil LaBute, Rogier Stoffers	92 minutes	$16,000,000	R (for language, drug content and some sexual humor)	Dean Craig
Death Race	61%	42%	Jason Statham,Joan Allen,Ian McShane,Tyrese Gibson,Robin Shou,Natalie Martinez,Jacob Vargas,Max Ryan,Fred Koehler,Jason Clarke,Frederick Koehler,Justin Mader,Robert LaSardo,Janaya Stephens	NA	NA	Aug 21, 2008 wide	Action & Adventure,Mystery & Suspense,Science Fiction & Fantasy	Universal Pictures	Paul W.S. Anderson	105 minutes	$36,064,910	R (for strong violence and language)	Paul W.S. Anderson
Death Race 2	37%	17%	Luke Goss,Ving Rhames,Sean Bean,Danny Trejo,Frederick Koehler,Lauren Cohan,Tanit Phoenix,Patrick Lyster,Joe Vaz	NA	NA	NA	Action & Adventure	Universal Studios Home Entertainment	Roel Reiné	99 minutes	NA	R	NA
Decasia	81%	86%		NA	NA	Jan 1, 2002 limited	Documentary,Drama,Musical & Performing Arts,Special Interest	Plexifilm	Bill Morrison	70 minutes	NA	NR	Bill Morrison
Decision Before Dawn	68%	100%	Richard Basehart,Oskar Werner,Gary Merrill,Hildegarde Neff,Dominique Blanchar,O.E. Hasse,Wilfried Seyferth,Hans Christian Blech,Helene Thimig,Robert Freytag,George Tyne,Adolph Lodel,Arno Assmann,Loni Heuser,Walter Janssen,Erich Ebert,Ruth Brandt,Liselotte Kirschbaum,Eva Marie Andres,Aguste Hansen-Kleinmichel,Peter Martin Urtel,Otto Friebel,Paul Schwed,Karl Malden,Meta Weber,Henriett Speidel,Ingeborg Luther,Almut Bachmann,Ruth Trumpp,Harold Benedict,Egon Lippert,Gerhard Kittler,Robert Freitag,Rainier Geldern,Klaus Kinski,von Schmidel,Arnulf Schroeder,Bert Brandt,Erik Jelde,Max Herbst,Klaus Krause,Alex Hohenlohe,Jasper Gertzen,Ulrich Volkmar,Hans Mohrhard,Kurt Marquardt,Jochen Diestelmann,Luitpold Kummer,Heinrich Berg,Dieter Wilsing,Elfe Gearhart,Rudolf Heimann,Werner Fuetterer,Lieselotte Steinweg,Elizabeth Millberg,Ulla Best,Katja Jobs,Eva Maria Hoppe,Maria Landrock,Sonja Kosta,Ernst Hoechstaetter,Harald Wolff,Wolfgang Kuhnemann,Walter Ladengast,Gerhard Steinberg,Peter Lühr,Maria Wimmer,Ursula Voss,Clemens Wilmenrod	NA	NA	Dec 21, 1951 wide	Action & Adventure,Classics,Drama,Mystery & Suspense	20th Century Fox Film Corporation	Anatole Litvak	119 minutes	NA	NR	Peter Viertel
Deeper Than Y	No Score Yet	100%		NA	NA	May 17, 2006 wide	Documentary,Musical & Performing Arts,Special Interest	NA	Ilona Siller, Lane Siller	60 minutes	NA	NR	NA
Deep Web	71%	82%	Keanu Reeves,Cindy Cohn	NA	NA	Mar 15, 2015 limited	Documentary	EPIX	Alex Winter	90 minutes	NA	NR	Alex Winter
Delicatessen	91%	89%	Dominique Pinon,Jean-Claude Dreyfus,Marie-Laure Dougnac,Karin Viard,Rufus,Ticky Holgado,Anne-Marie Pisani,Howard Vernon,Edith Ker,Anne Marie Pisan,Mickael Todde,Dominique Bettenfeld,Boban Janevski,Jacques Mathou,Jean-François Perrier,Sylvie Laguna,Chick Ortega,Patrick Paroux,Boban Janevsi,Jean-Luc Caron,Eric Averlant,Jacque Mathou,Dominique Betenfield,Maurice Lamy,Silvie Laguna,Marc Caro,Raymond Forestier,Dominique Defever,Bernard Flavien,Robert Baud,Dominique Zardi,Pascal Benezech	NA	NA	Apr 3, 1992 limited	Art House & International,Comedy,Drama,Science Fiction & Fantasy	Lionsgate	Jean-Pierre Jeunet, Marc Caro	97 minutes	NA	R (for violence)	Jean-Pierre Jeunet, Gilles Adrien, Marc Caro
Delivery Man	47%	39%	Vince Vaughn,Cobie Smulders,Chris Pratt,Jack Reynor,Britt Robertson,Dave Patten,Bobby Moynihan,Chris Hernandez,Camille Kitt,Erin Gerasimovich,Matthew Daddario,Ben Bailey,Vanessa Coelho,Kennerly Kitt,Leslie Ann Glossner,Takako Haywood,Glenn Fleshler,Chris Nunez,Georgie Lalov,Finnerty Steeves,Alex Hartman,Andrew Pagliara,Peter Kim,Zivile Kaminskaite,Nicole Newman,Kiff VandenHeuvel,Simon Delaney,Kaitlyn M. Burgoon,Shawn Gonzalez,Stephen Ellis,Joseph Basile,James Thomas Bligh,Adam Chanler-Berat,Logan Kulick,Michael Oberholtzer,Van Hughes,Malcolm Halaszynski,Joseph Urban,Alexander Flores,Derrick Arthur,Jessica Williams,Sebastien René,Kevin Hopkins,Zachary Hernandez,Kyle Sutton,Lynda Gravatt,Starla Benford,Damian Young,Don Guillory,Richard Poe,Jessica Abo,Crawford Logan,Andrzej Blumenfeld,Amos VanderPoel,Alice Gainer,Darin Guerrasio,Jonah Nathan,Bruce Altman,Matthew Walters,Stephanie Berry,Joseph Tudisco,Akim Black,Kate Dalton,Gabe Doran,Matt Blumm,Mark Zimmerman,Angela Bellotte,Charlie Romanelli,Pasha Pellosie,Connor Fox,Isaac H.W. Joseph,Jay Leno,Bill Maher,Nancy Nagrant,Jaime Lynn Weisman,Pantea Karimi	NA	NA	Nov 22, 2013 wide	Comedy	Walt Disney Pictures	Ken Scott (V)	103 minutes	$30,659,817	PG-13 (for thematic elements, sexual content, some drug material, brief violence and language)	Ken Scott (V)
Deliver Us from Evil	42%	29%	Eric Bana,Edgar Ramirez,Olivia Munn,Sean Harris,Joel McHale,Chris Coy,Dorian Missick,Mike Houston,Lulu Wilson,Olivia Horton,Scott Johnsen,Daniel Sauli,Antoinette LaVecchia,Aidan Gemme,Jenna Gavigan,Skylar Toddings,Sebastian Lacause,Stephen Hamm,Sean Nelson,Mari-Ange Ramirez,Ben Horner,Tijuana Ricks,John Cariani,Robert Keiley,Blair Sams,Mark David Watson,Ben Livingston,Kevin Nagle,Oliver Wadsworth,Lolita Foster,Carmen Ortiz-Girdauskas,Victor Pagan,Carol Stanzione,Adam Kobylarz,Lauro Chartrand	NA	NA	Jul 2, 2014 wide	Action & Adventure,Horror	Sony Pictures	Scott Derrickson	118 minutes	$18,871,466	R (for bloody violence, grisly images, terror throughout, and language)	Paul Harris Boardman, Scott Derrickson
De-Lovely	65%	48%	Kevin Kline,Ashley Judd,Jonathan Pryce,Kevin McNally,Alan Corduner,Sandra Nelson,Allan Corduner,Peter Polycarpou,Keith Allen,James Wilby,Kevin Mckidd,Richard Dillane,Edward Baker-Duly,Angie Hill,Leopold Lemarchand,Harry Ditson,Tayler Hamilton,Lexie Peel,Greg Sheffield,Peter Jessop,Jeff Harding,Susannah Fellows,Teddy Kempner,Robbie Williams,Lemar Obika,Elvis Costello,Alanis Morissette,John Barrowman,Nicola Dawn,Caroline O'Connor,Sheryl Crow,Mick Hucknall,Gene Shalit,Diana Krall,Vivian Green,Lara Fabian,Mario Frangoulis,Natalie Cole	NA	NA	Jul 2, 2004 wide	Comedy,Drama,Musical & Performing Arts	United Artists	Irwin Winkler	125 minutes	$13,148,028	PG-13 (for sexual content)	Jay Cocks
Der Samurai	52%	100%	Michel Diercks,Pit Bukowski,Uwe Preuss	NA	NA	NA	Horror,Mystery & Suspense,Science Fiction & Fantasy	Schattenkante	Till Kleinert	79 minutes	NA	NR	Till Kleinert
